Driver Step Detail ID	Audit ID	Driver Step ID	APP Name	Run Name	Group Number	Run Order Number	Run Status Code	Error Process Number	SESSION START DATE TIME	SESSION END DATE TIME	Run Start Date Time	Run End Date Time	Create Date Time	Last Modified Date Time
16706110169	998109	1589120035	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	75	S	2	?	?	2016-08-31 13:46:44.100000	2016-08-31 13:46:54.580000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110170	998109	1589120036	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	80	S	2	?	?	2016-08-31 13:46:56.120000	2016-08-31 13:47:19.460000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110171	998109	1589120037	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	200	85	S	2	?	?	2016-08-31 13:47:21.080000	2016-08-31 13:47:33.380000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110172	998109	1589120038	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	300	5	S	2	?	?	2016-08-31 13:42:13.570000	2016-08-31 13:42:36.400000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110173	998109	1589120039	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	300	10	S	2	?	?	2016-08-31 13:42:37.920000	2016-08-31 13:42:49.650000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110174	998109	1589120040	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	300	15	S	2	?	?	2016-08-31 13:42:51.370000	2016-08-31 13:43:00.420000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110175	998109	1589120041	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	300	20	S	2	?	?	2016-08-31 13:43:02.230000	2016-08-31 13:43:13.120000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110176	998109	1589120042	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	400	5	S	2	?	?	2016-08-31 13:42:17.520000	2016-08-31 13:42:25.100000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110177	998109	1589120043	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	450	10	S	2	?	?	2016-08-31 13:47:35.900000	2016-08-31 13:47:46.170000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110178	998109	1589120044	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	5	S	2	?	?	2016-08-31 13:47:48.620000	2016-08-31 13:48:47.500000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110179	998109	1589120045	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	10	S	2	?	?	2016-08-31 13:48:48.800000	2016-08-31 13:48:58.670000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110180	998109	1589120046	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	15	S	2	?	?	2016-08-31 13:49:00.180000	2016-08-31 13:49:09.630000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110181	998109	1589120047	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	20	S	2	?	?	2016-08-31 13:49:11.280000	2016-08-31 13:50:35.760000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110182	998109	1589120048	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	25	S	2	?	?	2016-08-31 13:50:37.270000	2016-08-31 13:50:48.320000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110183	998109	1589120049	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	30	S	2	?	?	2016-08-31 13:50:49.880000	2016-08-31 13:51:00.880000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110184	998109	1589120050	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	35	S	2	?	?	2016-08-31 13:51:02.600000	2016-08-31 13:51:13.750000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110185	998109	1589120051	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	500	40	S	2	?	?	2016-08-31 13:51:15.480000	2016-08-31 13:54:35.300000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
